year,COAST AND MOUNTAINS,GEORGIA DEPRESSION,CENTRAL INTERIOR,SOUTHERN INTERIOR,SOUTHERN INTERIOR MOUNTAINS,SUB-BOREAL INTERIOR,BOREAL PLAINS,TAIGA PLAINS,NORTHERN BOREAL MOUNTAINS,COAST AND MOUNTAINS SE,GEORGIA DEPRESSION SE,CENTRAL INTERIOR SE,SOUTHERN INTERIOR SE,SOUTHERN INTERIOR MOUNTAINS SE,SUB-BOREAL INTERIOR SE,BOREAL PLAINS SE,TAIGA PLAINS SE,NORTHERN BOREAL MOUNTAINS SE,measure
1950,324.902454608297,108.444483909938,217.482689960622,91.5437758161531,79.9432910958244,358.125557245054,374.537677630279,547.471006205044,617.722070327728,458.643134127521,97.9196479829147,167.776280624023,49.77716282193,52.9417173201841,405.90817382542,428.680382521761,846.790402168535,1057.51811569385,depth
1951,34.1342976792589,15.8997025722863,99.6789609170769,79.4137421395289,66.558588791833,128.269511683107,149.213033039075,121.25774585916,74.0216684524014,269.551269560932,59.4106370677042,102.434046209454,31.3222803899519,32.336390210163,240.559889384483,252.713849408312,488.520152175559,609.499840143064,depth
1952,-19.2213183847172,9.929638136071,35.757804106695,43.4455752230842,46.5335166243846,38.5962077245163,52.792272727191,3.76208188301953,-42.2712361494795,85.2136574561584,51.5190168869143,52.1474809932982,28.4537408005816,30.786831189905,87.0703794292411,123.471652434499,222.457752552553,230.619279438776,depth
1953,4.16177377963445,27.6846727075767,12.1963286172645,18.0716503398286,27.1355717629486,-9.57590370631405,2.19136882916708,-21.0983686436428,-36.9230189224536,63.2806728674205,38.2869853930013,34.6621346287486,21.251918014625,22.3884962859679,57.0807531551522,83.5990722932875,162.112265225671,170.393341929895,depth
1954,-25.4502567990306,41.0537544499429,40.9658606919433,70.948862595286,89.8711340777942,-21.8686252990006,-4.42852268202159,-64.8464090609576,-125.486833842582,127.755454175698,77.2946078245763,69.9803624874899,42.9845965591734,45.3918986503799,115.232214400748,168.768776729301,327.284380053679,344.014815585814,depth
1955,191.904725893302,88.6430635283297,243.994584353897,119.559392160201,42.4558026490517,-121.13640513132,-231.542714090096,-420.447286755957,-319.707577134002,335.726495478427,155.935920347494,234.331692408652,142.526780734029,144.721435262624,384.74185367852,552.424007909989,1075.45294631574,1140.19239206909,depth
1956,2200.32035438229,203.165463115895,726.857030733818,139.06345294013,83.9711508011323,1180.00172150405,958.91560271312,2432.90121375131,3593.63499360045,1237.0072415099,292.93411684023,529.343402331407,235.05833033824,266.676097743508,1139.1061525902,1308.89483073747,2710.22194406095,3206.71775579035,depth
1957,-119.53649944512,-8.44119107072584,55.3110429609151,81.1623922393383,47.5350842196621,-51.3750717723273,-64.5333629608119,-239.417017591892,-338.107598241384,206.028861018581,97.615903111484,114.653800362855,77.2837146104358,86.7069566947677,230.234721015983,331.915982112385,634.572567126752,662.702685038265,depth
1958,-87.2933975792904,2.14634555518622,64.1782200390204,29.1158521611238,2.08892971899133,-55.734207587001,-96.296964472166,-249.396742738906,-296.177811118206,105.662000883655,50.4326765007134,59.7758759478039,40.2097901740436,45.1521774935712,119.933941686538,172.798510686332,330.121461440912,343.872265307624,depth
1959,-63.1101214247156,34.8848138958286,20.6014123959657,62.2220778019304,44.8604877346483,-34.0544882963058,-41.7818056672719,-133.995247104437,-180.557096698787,96.9584099250035,46.646133904871,55.0513823078016,36.2456503763955,41.9641153918531,110.056753803909,158.421864075142,302.81841340943,315.849771893777,depth
1960,-21.037720786626,-6.49996503318117,-17.6216375305775,19.228497446168,-7.18428503115525,6.80327961624573,18.6641847245297,33.5022237425766,18.6554528099162,72.1842794074522,34.7888441494354,41.0394167457209,26.4788094476611,31.3704213277888,81.9400693882584,117.908535045575,225.411923723674,235.219361975711,depth
1961,-34.0099610006182,21.5460074025245,-4.92554808785255,44.8600269299575,9.86453637014536,-6.78822799682743,10.8872686789993,9.15913174463006,-11.6412218093006,109.655345571112,56.0853075637922,63.3449671994245,42.3386463847674,48.9218079156012,71.0027988792525,104.792766972062,180.577251682253,177.37255470609,depth
1962,-41.4386729241567,-17.8564626130336,70.9019793911235,67.0505709616012,34.9803482952172,4.10593728918811,16.4218410096029,-9.14065620470811,-49.8866706242133,166.808385777795,84.1598986441103,91.9591123990017,67.0325544939752,72.8056922640111,102.118559107643,156.071652040409,269.103725541896,264.458326839403,depth
1963,-26.2681804401634,-37.9397845744444,-24.4575942900176,-22.6982300034385,-6.23528189916636,2.10620773261648,21.3515893138003,14.6338023139655,-1.83283827742152,39.0532247349557,22.2879325368026,21.9067668868181,16.0513389735874,18.153017893405,20.1563793968668,31.4378748300897,55.424661024246,48.2919714753427,depth
