station,year,ann_half_date
08HA001,1958,126
08HA001,1959,116
08HA001,1960,111
08HA001,1961,73
08HA001,1962,288
08HA001,1963,135
08HA001,1964,98
08HA001,1965,168
08HA001,1966,128
08HA001,1967,112
08HA001,1968,63
08HA001,1969,132
08HA001,1970,103
08HA001,1971,102
08HA001,1972,
08HA001,1973,55
08HA001,1974,2
08HA001,1975,297
08HA001,1976,104
08HA001,1977,304
08HA001,1978,87
08HA001,1979,315
08HA001,1980,311
08HA001,1981,298
08HA001,1982,135
08HA001,1983,91
08HA001,1984,121
08HA001,1985,121
08HA001,1986,75
08HA001,1987,66
08HA001,1988,115
08HA001,1989,96
08HA001,1990,240
08HA001,1991,94
08HA001,1992,37
08HA001,1993,111
08HA001,1994,97
08HA001,1995,126
08HA001,1996,87
08HA001,1997,120
08HA001,1998,129
08HA001,1999,122
08HA001,2000,116
08HA001,2001,239
08HA001,2002,100
08HA001,2003,89
08HA001,2004,108
08HA001,2005,105
08HA001,2006,132
08HA001,2007,87
08HA001,2008,133
08HA001,2009,309
08HA001,2010,110
08HA001,2011,103
08HA001,2012,115
08HA003,1958,
08HA003,1959,
08HA003,1960,100
08HA003,1961,62
08HA003,1962,313
08HA003,1963,297
08HA003,1964,61
08HA003,1965,108
08HA003,1966,137
08HA003,1967,102
08HA003,1968,75
08HA003,1969,107
08HA003,1970,98
08HA003,1971,85
08HA003,1972,74
08HA003,1973,314
08HA003,1974,75
08HA003,1975,293
08HA003,1976,72
08HA003,1977,300
08HA003,1978,81
08HA003,1979,169
08HA003,1980,181
08HA003,1981,221
08HA003,1982,86
08HA003,1983,76
08HA003,1984,128
08HA003,1985,113
08HA003,1986,71
08HA003,1987,63
08HA003,1988,97
08HA003,1989,83
08HA003,1990,304
08HA003,1991,64
08HA003,1992,37
08HA003,1993,98
08HA003,1994,103
08HA003,1995,295
08HA003,1996,107
08HA003,1997,179
08HA003,1998,103
08HA003,1999,65
08HA003,2000,81
08HA003,2001,318
08HA003,2002,71
08HA003,2003,97
08HA003,2004,97
08HA003,2005,95
08HA003,2006,308
08HA003,2007,77
08HA003,2008,72
08HA003,2009,310
08HA003,2010,102
08HA003,2011,78
08HA003,2012,54
08JB002,1958,157
08JB002,1959,190
08JB002,1960,170
08JB002,1961,165
08JB002,1962,194
08JB002,1963,168
08JB002,1964,197
08JB002,1965,169
08JB002,1966,170
08JB002,1967,166
08JB002,1968,172
08JB002,1969,173
08JB002,1970,171
08JB002,1971,190
08JB002,1972,177
08JB002,1973,175
08JB002,1974,174
08JB002,1975,196
08JB002,1976,177
08JB002,1977,155
08JB002,1978,179
08JB002,1979,167
08JB002,1980,196
08JB002,1981,170
08JB002,1982,183
08JB002,1983,198
08JB002,1984,184
08JB002,1985,174
08JB002,1986,191
08JB002,1987,175
08JB002,1988,188
08JB002,1989,171
08JB002,1990,173
08JB002,1991,173
08JB002,1992,161
08JB002,1993,188
08JB002,1994,159
08JB002,1995,164
08JB002,1996,171
08JB002,1997,159
08JB002,1998,164
08JB002,1999,184
08JB002,2000,
08JB002,2001,188
08JB002,2002,174
08JB002,2003,183
08JB002,2004,196
08JB002,2005,153
08JB002,2006,173
08JB002,2007,172
08JB002,2008,166
08JB002,2009,171
08JB002,2010,179
08JB002,2011,175
08JB002,2012,166
08JE001,1958,180
08JE001,1959,203
08JE001,1960,190
08JE001,1961,186
08JE001,1962,207
08JE001,1963,187
08JE001,1964,210
08JE001,1965,190
08JE001,1966,196
08JE001,1967,191
08JE001,1968,204
08JE001,1969,199
08JE001,1970,186
08JE001,1971,205
08JE001,1972,196
08JE001,1973,191
08JE001,1974,197
08JE001,1975,201
08JE001,1976,199
08JE001,1977,190
08JE001,1978,195
08JE001,1979,191
08JE001,1980,203
08JE001,1981,184
08JE001,1982,202
08JE001,1983,205
08JE001,1984,202
08JE001,1985,197
08JE001,1986,204
08JE001,1987,188
08JE001,1988,191
08JE001,1989,184
08JE001,1990,189
08JE001,1991,192
08JE001,1992,179
08JE001,1993,195
08JE001,1994,185
08JE001,1995,184
08JE001,1996,197
08JE001,1997,184
08JE001,1998,175
08JE001,1999,192
08JE001,2000,204
08JE001,2001,203
08JE001,2002,191
08JE001,2003,197
08JE001,2004,194
08JE001,2005,186
08JE001,2006,183
08JE001,2007,204
08JE001,2008,186
08JE001,2009,186
08JE001,2010,184
08JE001,2011,199
08JE001,2012,191
08LA001,1958,166
08LA001,1959,193
08LA001,1960,189
08LA001,1961,168
