station,year,annual_flow_summary,annual_flow_value
08HA001,1958,ann.mean,20.18
08HA001,1959,ann.mean,18.65
08HA001,1960,ann.mean,16.96
08HA001,1961,ann.mean,23.41
08HA001,1962,ann.mean,21.85
08HA001,1963,ann.mean,17.24
08HA001,1964,ann.mean,14.89
08HA001,1965,ann.mean,16.56
08HA001,1966,ann.mean,22.58
08HA001,1967,ann.mean,20.75
08HA001,1968,ann.mean,25.4
08HA001,1969,ann.mean,16.86
08HA001,1970,ann.mean,15.07
08HA001,1971,ann.mean,23.1
08HA001,1972,ann.mean,
08HA001,1973,ann.mean,
08HA001,1974,ann.mean,
08HA001,1975,ann.mean,25.5
08HA001,1976,ann.mean,17.73
08HA001,1977,ann.mean,16.76
08HA001,1978,ann.mean,10.75
08HA001,1979,ann.mean,22.38
08HA001,1980,ann.mean,32.89
08HA001,1981,ann.mean,23.59
08HA001,1982,ann.mean,21.36
08HA001,1983,ann.mean,26.23
08HA001,1984,ann.mean,20.62
08HA001,1985,ann.mean,10.29
08HA001,1986,ann.mean,18.84
08HA001,1987,ann.mean,14.66
08HA001,1988,ann.mean,15.44
08HA001,1989,ann.mean,13.23
08HA001,1990,ann.mean,20.35
08HA001,1991,ann.mean,17.02
08HA001,1992,ann.mean,14.14
08HA001,1993,ann.mean,13.21
08HA001,1994,ann.mean,17.54
08HA001,1995,ann.mean,22.29
08HA001,1996,ann.mean,15.44
08HA001,1997,ann.mean,26.22
08HA001,1998,ann.mean,20.5
08HA001,1999,ann.mean,23.72
08HA001,2000,ann.mean,11.45
08HA001,2001,ann.mean,14.51
08HA001,2002,ann.mean,17.61
08HA001,2003,ann.mean,20.69
08HA001,2004,ann.mean,15.48
08HA001,2005,ann.mean,16.44
08HA001,2006,ann.mean,23.52
08HA001,2007,ann.mean,19.93
08HA001,2008,ann.mean,12.2
08HA001,2009,ann.mean,16.41
08HA001,2010,ann.mean,21.66
08HA001,2011,ann.mean,19.47
08HA001,2012,ann.mean,20.39
08HA001,1958,ann.min,0.23
08HA001,1959,ann.min,1.08
08HA001,1960,ann.min,0.51
08HA001,1961,ann.min,0.21
08HA001,1962,ann.min,0.23
08HA001,1963,ann.min,0.23
08HA001,1964,ann.min,0.89
08HA001,1965,ann.min,0.28
08HA001,1966,ann.min,0.41
08HA001,1967,ann.min,0.23
08HA001,1968,ann.min,0.56
08HA001,1969,ann.min,1.02
08HA001,1970,ann.min,0.13
08HA001,1971,ann.min,0.96
08HA001,1972,ann.min,
08HA001,1973,ann.min,
08HA001,1974,ann.min,
08HA001,1975,ann.min,0.52
08HA001,1976,ann.min,1.13
08HA001,1977,ann.min,0.09
08HA001,1978,ann.min,0.59
08HA001,1979,ann.min,0.36
08HA001,1980,ann.min,0.62
08HA001,1981,ann.min,0.58
08HA001,1982,ann.min,0.37
08HA001,1983,ann.min,0.49
08HA001,1984,ann.min,0.68
08HA001,1985,ann.min,0.21
08HA001,1986,ann.min,0.43
08HA001,1987,ann.min,0.19
08HA001,1988,ann.min,0.17
08HA001,1989,ann.min,0.26
08HA001,1990,ann.min,0.31
08HA001,1991,ann.min,0.67
08HA001,1992,ann.min,0.51
08HA001,1993,ann.min,0.25
08HA001,1994,ann.min,0.19
08HA001,1995,ann.min,0.24
08HA001,1996,ann.min,0.2
08HA001,1997,ann.min,0.9
08HA001,1998,ann.min,0.26
08HA001,1999,ann.min,0.41
08HA001,2000,ann.min,0.42
08HA001,2001,ann.min,0.52
08HA001,2002,ann.min,0.12
08HA001,2003,ann.min,0.13
08HA001,2004,ann.min,0.11
08HA001,2005,ann.min,0.37
08HA001,2006,ann.min,0.15
08HA001,2007,ann.min,0.56
08HA001,2008,ann.min,0.83
08HA001,2009,ann.min,0.26
08HA001,2010,ann.min,0.34
08HA001,2011,ann.min,0.32
08HA001,2012,ann.min,0.29
08HA001,1958,ann.max,153.0
08HA001,1959,ann.max,160.0
08HA001,1960,ann.max,258.0
08HA001,1961,ann.max,275.0
08HA001,1962,ann.max,242.0
08HA001,1963,ann.max,241.0
08HA001,1964,ann.max,169.0
08HA001,1965,ann.max,188.0
08HA001,1966,ann.max,224.0
08HA001,1967,ann.max,189.0
08HA001,1968,ann.max,456.0
08HA001,1969,ann.max,104.0
08HA001,1970,ann.max,202.0
08HA001,1971,ann.max,241.0
08HA001,1972,ann.max,
08HA001,1973,ann.max,
08HA001,1974,ann.max,
08HA001,1975,ann.max,306.0
08HA001,1976,ann.max,140.0
08HA001,1977,ann.max,240.0
08HA001,1978,ann.max,86.4
08HA001,1979,ann.max,452.0
08HA001,1980,ann.max,457.0
